"ids","pids"
102373,1003776
102374,1003776
214251,1003776
214252,1003776
214254,1003776
214255,1003776
214257,1003776
214258,1003776
214260,1003776
214262,1003776
214263,1003776
214264,1003776
214265,1003776
214266,1003776
214267,1003776
214270,1003776
214273,1003776
214274,1003776
214276,1003776
214277,1003776
214279,1003776
267141,1003776
1003776,2002913
232933,1003777
214282,1003777
100810,1003777
102414,1003777
102415,1003777
102416,1003777
102417,1003777
102418,1003777
102419,1003777
214280,1003777
214281,1003777
214284,1003777
214285,1003777
214286,1003777
214289,1003777
214290,1003777
214293,1003777
214295,1003777
214297,1003777
251235,1003777
1003777,2002913
2002913,3000188
213989,1003705
1003705,2002916
102486,1003822
214579,1003822
214580,1003822
214581,1003822
1003822,2002916
214583,1003823
1003823,2002916
2002916,3000188
214584,1003824
214585,1003824
214586,1003824
1003824,2001230
214587,1003825
214588,1003825
1003825,2001230
102437,1003826
214589,1003826
1003826,2001230
214591,1003827
1003827,2001230
214592,1003828
214593,1003828
214594,1003828
214595,1003828
1003828,2001230
2001230,3000188
102362,1003879
214791,1003879
1003879,6005023
102386,1003877
214786,1003877
214787,1003877
1003877,6005023
100824,1003876
214780,1003876
214781,1003876
214783,1003876
214784,1003876
1003876,6005023
214788,1003878
214789,1003878
214790,1003878
1003878,6005023
6005023,2001235
102362,1003879
214791,1003879
1003879,2001235
102386,1003877
214786,1003877
214787,1003877
1003877,2001235
100824,1003876
214780,1003876
214781,1003876
214783,1003876
214784,1003876
1003876,2001235
214788,1003878
214789,1003878
214790,1003878
1003878,2001235
214673,1003850
214674,1003850
1003850,6005024
214701,1003855
1003855,6005024
102383,1003859
214708,1003859
214710,1003859
214711,1003859
1003859,6005024
214663,1003847
214664,1003847
214665,1003847
214666,1003847
214667,1003847
214668,1003847
214669,1003847
1003847,6005024
100550,1003865
100551,1003865
100552,1003865
100553,1003865
214732,1003865
214733,1003865
214734,1003865
214735,1003865
214736,1003865
214737,1003865
214741,1003865
214742,1003865
214743,1003865
214744,1003865
214745,1003865
214747,1003865
214748,1003865
214749,1003865
214750,1003865
214751,1003865
214752,1003865
214753,1003865
1003865,6005024
100614,1003854
102393,1003854
214689,1003854
214690,1003854
214691,1003854
214693,1003854
214694,1003854
214695,1003854
214696,1003854
214697,1003854
214698,1003854
214699,1003854
1003854,6005024
6003472,6003471
6003471,6005024
214654,1003843
1003843,6005024
102445,1003856
214702,1003856
1003856,6005024
214675,1003851
214676,1003851
214677,1003851
214678,1003851
214679,1003851
214680,1003851
214681,1003851
214682,1003851
214683,1003851
214684,1003851
1003851,6005024
101001,1003860
102446,1003860
102447,1003860
102448,1003860
214713,1003860
1003860,6005024
214731,1003864
1003864,6005024
101336,1003853
214688,1003853
1003853,6005024
214704,1003857
214705,1003857
1003857,6005024
214656,1003845
1003845,6005024
216323,1004448
1004448,6005024
102460,1003858
214706,1003858
1003858,6005024
214670,1003848
214671,1003848
1003848,6005024
214685,1003852
214686,1003852
1003852,6005024
214652,1003842
214653,1003842
1003842,6005024
102499,1003862
102500,1003862
214718,1003862
214720,1003862
214721,1003862
214722,1003862
214723,1003862
214724,1003862
214726,1003862
214727,1003862
214728,1003862
250429,1003862
1003862,6005024
102501,1003861
1003861,6005024
214729,1003863
6003467,1003863
214730,1003863
1003863,6005024
101798,1003866
214754,1003866
214755,1003866
214757,1003866
214758,1003866
1003866,6005024
214655,1003844
1003844,6005024
101884,1003846
214657,1003846
214658,1003846
214659,1003846
214660,1003846
214662,1003846
1003846,6005024
214672,1003849
1003849,6005024
102007,1003832
214604,1003832
1003832,6005024
6005024,2001235
214673,1003850
214674,1003850
1003850,2001235
214701,1003855
1003855,2001235
102383,1003859
214708,1003859
214710,1003859
214711,1003859
1003859,2001235
214663,1003847
214664,1003847
214665,1003847
214666,1003847
214667,1003847
214668,1003847
214669,1003847
1003847,2001235
100550,1003865
100551,1003865
100552,1003865
100553,1003865
214732,1003865
214733,1003865
214734,1003865
214735,1003865
214736,1003865
214737,1003865
214741,1003865
214742,1003865
214743,1003865
214744,1003865
214745,1003865
214747,1003865
214748,1003865
214749,1003865
214750,1003865
214751,1003865
214752,1003865
214753,1003865
1003865,2001235
100614,1003854
102393,1003854
214689,1003854
214690,1003854
214691,1003854
214693,1003854
214694,1003854
214695,1003854
214696,1003854
214697,1003854
214698,1003854
214699,1003854
1003854,2001235
6003472,6003471
6003471,2001235
214654,1003843
1003843,2001235
102445,1003856
214702,1003856
1003856,2001235
214675,1003851
214676,1003851
214677,1003851
214678,1003851
214679,1003851
214680,1003851
214681,1003851
214682,1003851
214683,1003851
214684,1003851
1003851,2001235
101001,1003860
102446,1003860
102447,1003860
102448,1003860
214713,1003860
1003860,2001235
214731,1003864
1003864,2001235
101336,1003853
214688,1003853
1003853,2001235
214704,1003857
214705,1003857
1003857,2001235
214656,1003845
1003845,2001235
216323,1004448
1004448,2001235
102460,1003858
214706,1003858
1003858,2001235
214670,1003848
214671,1003848
1003848,2001235
214685,1003852
214686,1003852
1003852,2001235
214652,1003842
214653,1003842
1003842,2001235
102499,1003862
102500,1003862
214718,1003862
214720,1003862
214721,1003862
214722,1003862
214723,1003862
214724,1003862
214726,1003862
214727,1003862
214728,1003862
250429,1003862
1003862,2001235
102501,1003861
1003861,2001235
214729,1003863
6003467,1003863
214730,1003863
1003863,2001235
101798,1003866
214754,1003866
214755,1003866
214757,1003866
214758,1003866
1003866,2001235
214655,1003844
1003844,2001235
101884,1003846
214657,1003846
214658,1003846
214659,1003846
214660,1003846
214662,1003846
1003846,2001235
214672,1003849
1003849,2001235
102007,1003832
214604,1003832
1003832,2001235
100273,1003870
100274,1003870
214767,1003870
214768,1003870
214770,1003870
1003870,6005025
102377,1003872
102378,1003872
1003872,6005025
214766,1003869
1003869,6005025
214775,1003873
1003873,6005025
214772,1003871
1003871,6005025
214778,1003875
214779,1003875
1003875,6005025
214776,1003874
214777,1003874
1003874,6005025
214759,1003867
1003867,6005025
101873,1003868
101874,1003868
214761,1003868
214762,1003868
214763,1003868
214765,1003868
1003868,6005025
6005025,2001235
100273,1003870
100274,1003870
214767,1003870
214768,1003870
214770,1003870
1003870,2001235
102377,1003872
102378,1003872
1003872,2001235
214766,1003869
1003869,2001235
214775,1003873
1003873,2001235
214772,1003871
1003871,2001235
214778,1003875
214779,1003875
1003875,2001235
214776,1003874
214777,1003874
1003874,2001235
214759,1003867
1003867,2001235
101873,1003868
101874,1003868
214761,1003868
214762,1003868
214763,1003868
214765,1003868
1003868,2001235
214614,1003835
1003835,6005028
214617,1003838
1003838,6005028
214597,1003830
214598,1003830
214599,1003830
214600,1003830
1003830,6005028
214642,1003841
214643,1003841
214644,1003841
214645,1003841
214646,1003841
214647,1003841
214648,1003841
214649,1003841
214650,1003841
214651,1003841
1003841,6005028
214637,1003840
214638,1003840
214639,1003840
214640,1003840
214641,1003840
1003840,6005028
214605,1003833
214606,1003833
1003833,6005028
101317,1003834
214607,1003834
214608,1003834
214609,1003834
214611,1003834
214612,1003834
214613,1003834
1003834,6005028
101342,1003839
101343,1003839
101344,1003839
214618,1003839
214619,1003839
214620,1003839
214621,1003839
214622,1003839
214623,1003839
214624,1003839
214625,1003839
214627,1003839
214628,1003839
214629,1003839
214630,1003839
214631,1003839
214632,1003839
214633,1003839
214636,1003839
1003839,6005028
233648,1009415
1009415,6005028
101636,1003837
1003837,6005028
102490,1003836
1003836,6005028
6005028,2001235
214614,1003835
1003835,2001235
214617,1003838
1003838,2001235
214597,1003830
214598,1003830
214599,1003830
214600,1003830
1003830,2001235
214642,1003841
214643,1003841
214644,1003841
214645,1003841
214646,1003841
214647,1003841
214648,1003841
214649,1003841
214650,1003841
214651,1003841
1003841,2001235
214637,1003840
214638,1003840
214639,1003840
214640,1003840
214641,1003840
1003840,2001235
214605,1003833
214606,1003833
1003833,2001235
101317,1003834
214607,1003834
214608,1003834
214609,1003834
214611,1003834
214612,1003834
214613,1003834
1003834,2001235
101342,1003839
101343,1003839
101344,1003839
214618,1003839
214619,1003839
214620,1003839
214621,1003839
214622,1003839
214623,1003839
214624,1003839
214625,1003839
214627,1003839
214628,1003839
214629,1003839
214630,1003839
214631,1003839
214632,1003839
214633,1003839
214636,1003839
1003839,2001235
233648,1009415
1009415,2001235
101636,1003837
1003837,2001235
102490,1003836
1003836,2001235
214795,1003882
1003882,6005030
6005030,2001235
214795,1003882
1003882,2001235
100327,1003829
1003829,6005031
214601,1003831
214602,1003831
1003831,6005031
214793,1003880
1003880,6005031
102481,1003881
1003881,6005031
216324,1004449
1004449,6005031
6005031,2001235
100327,1003829
1003829,2001235
214601,1003831
214602,1003831
1003831,2001235
214793,1003880
1003880,2001235
102481,1003881
1003881,2001235
216324,1004449
1004449,2001235
2001235,3000188
214421,1003813
214422,1003813
1003813,2001228
2001228,3000188
100433,1003814
1003814,2001234
214424,1003815
1003815,2001234
100680,1003816
100681,1003816
100682,1003816
100683,1003816
100684,1003816
100685,1003816
100686,1003816
100687,1003816
100688,1003816
100689,1003816
100690,1003816
100691,1003816
100692,1003816
100693,1003816
100694,1003816
100695,1003816
102399,1003816
102400,1003816
102401,1003816
102402,1003816
102403,1003816
102404,1003816
102405,1003816
102406,1003816
102407,1003816
102408,1003816
214426,1003816
214427,1003816
214428,1003816
214429,1003816
214431,1003816
214432,1003816
214433,1003816
214434,1003816
214435,1003816
214436,1003816
214437,1003816
214438,1003816
214439,1003816
214440,1003816
214441,1003816
214442,1003816
214443,1003816
214444,1003816
214445,1003816
214446,1003816
214447,1003816
214448,1003816
214449,1003816
214450,1003816
214451,1003816
214452,1003816
214453,1003816
214454,1003816
214455,1003816
214456,1003816
214457,1003816
214458,1003816
214459,1003816
214460,1003816
214461,1003816
214462,1003816
214464,1003816
214465,1003816
214466,1003816
214469,1003816
214470,1003816
214474,1003816
214476,1003816
214477,1003816
214478,1003816
214480,1003816
214481,1003816
214482,1003816
214483,1003816
214484,1003816
214485,1003816
214486,1003816
214487,1003816
214488,1003816
214489,1003816
214491,1003816
214492,1003816
214493,1003816
214494,1003816
214496,1003816
214498,1003816
214499,1003816
214500,1003816
214501,1003816
214502,1003816
214503,1003816
214504,1003816
214505,1003816
214506,1003816
214507,1003816
214508,1003816
214509,1003816
214510,1003816
214511,1003816
214512,1003816
214513,1003816
214514,1003816
214515,1003816
214516,1003816
214517,1003816
214518,1003816
214519,1003816
214520,1003816
214521,1003816
214522,1003816
214523,1003816
214524,1003816
214526,1003816
214528,1003816
214530,1003816
214532,1003816
214534,1003816
214537,1003816
214538,1003816
214539,1003816
214540,1003816
214542,1003816
214543,1003816
214545,1003816
214547,1003816
214548,1003816
214550,1003816
214551,1003816
214553,1003816
214554,1003816
214555,1003816
214556,1003816
233123,1003816
250426,1003816
1003816,2001234
2001234,3000188
214302,1003779
1003779,2001226
102410,1003778
214298,1003778
214299,1003778
214301,1003778
1003778,2001226
214242,1003772
214243,1003772
214244,1003772
214245,1003772
1003772,2002913
214246,1003773
1003773,2002913
102515,1003774
1003774,2002913
214248,1003775
214249,1003775
214250,1003775
1003775,2002913
100203,1003776
100204,1003776
100205,1003776
100206,1003776
100207,1003776
100208,1003776
102371,1003776
102372,1003776
102373,1003776
102374,1003776
214251,1003776
214252,1003776
214254,1003776
214255,1003776
214257,1003776
214258,1003776
214260,1003776
214262,1003776
214263,1003776
214264,1003776
214265,1003776
214266,1003776
214267,1003776
214270,1003776
214273,1003776
214274,1003776
214276,1003776
214277,1003776
214279,1003776
267141,1003776
1003776,2002913
232933,1003777
214282,1003777
100810,1003777
102414,1003777
102415,1003777
102416,1003777
102417,1003777
102418,1003777
102419,1003777
214280,1003777
214281,1003777
214284,1003777
214285,1003777
214286,1003777
214289,1003777
214290,1003777
214293,1003777
214295,1003777
214297,1003777
251235,1003777
1003777,2002913
2002913,2001226
102476,1003780
214302,1003780
214304,1003780
1003780,6005021
102504,1003781
1003781,6005021
102410,1003782
214321,1003782
6003476,1003782
6004661,1003782
214360,1003782
214298,1003782
214299,1003782
214320,1003782
214331,1003782
214301,1003782
214326,1003782
214345,1003782
214334,1003782
214347,1003782
214323,1003782
214363,1003782
102424,1003782
214332,1003782
214361,1003782
250428,1003782
214344,1003782
102425,1003782
102385,1003782
102426,1003782
214328,1003782
214327,1003782
214352,1003782
214329,1003782
214318,1003782
214353,1003782
214338,1003782
214325,1003782
214351,1003782
100887,1003782
214307,1003782
214308,1003782
214342,1003782
214316,1003782
214314,1003782
214324,1003782
214339,1003782
6003475,1003782
214330,1003782
214346,1003782
102427,1003782
214340,1003782
214333,1003782
214336,1003782
214322,1003782
102428,1003782
214341,1003782
214362,1003782
102429,1003782
214317,1003782
214315,1003782
214359,1003782
214335,1003782
214350,1003782
214306,1003782
100888,1003782
214312,1003782
214349,1003782
102430,1003782
214319,1003782
214343,1003782
214337,1003782
1003782,6005021
6005021,2001226
102476,1003780
214302,1003780
214304,1003780
1003780,2001226
102504,1003781
1003781,2001226
102410,1003782
214321,1003782
6003476,1003782
6004661,1003782
214360,1003782
214298,1003782
214299,1003782
214320,1003782
214331,1003782
214301,1003782
214326,1003782
214345,1003782
214334,1003782
214347,1003782
214323,1003782
214363,1003782
102424,1003782
214332,1003782
214361,1003782
250428,1003782
214344,1003782
102425,1003782
102385,1003782
102426,1003782
214328,1003782
214327,1003782
214352,1003782
214329,1003782
214318,1003782
214353,1003782
214338,1003782
214325,1003782
214351,1003782
100887,1003782
214307,1003782
214308,1003782
214342,1003782
214316,1003782
214314,1003782
214324,1003782
214339,1003782
6003475,1003782
214330,1003782
214346,1003782
102427,1003782
214340,1003782
214333,1003782
214336,1003782
214322,1003782
102428,1003782
214341,1003782
214362,1003782
102429,1003782
214317,1003782
214315,1003782
214359,1003782
214335,1003782
214350,1003782
214306,1003782
100888,1003782
214312,1003782
214349,1003782
102430,1003782
214319,1003782
214343,1003782
214337,1003782
1003782,2001226
100923,1003771
100924,1003771
100925,1003771
102438,1003771
214238,1003771
214241,1003771
1003771,2002912
2002912,2001226
2001226,3000188
100923,1003771
100924,1003771
100925,1003771
102438,1003771
214238,1003771
214241,1003771
1003771,2002912
2002912,3000188
100634,1003783
100635,1003783
100636,1003783
1003783,2001227
101055,1003784
102450,1003784
1003784,2001227
214369,1003785
214370,1003785
1003785,2001227
101815,1003786
1003786,2001227
100877,1003787
1003787,2001227
2001227,3000188
102464,1003817
102465,1003817
214558,1003817
214559,1003817
214560,1003817
214561,1003817
214562,1003817
214563,1003817
214565,1003817
214566,1003817
214567,1003817
214569,1003817
214570,1003817
214571,1003817
214572,1003817
1003817,2001229
2001229,3000188
214573,1003818
1003818,2001232
214574,1003819
214575,1003819
214576,1003819
1003819,2001232
2001232,3000188
101759,1003788
101760,1003788
101761,1003788
101762,1003788
214373,1003788
214374,1003788
214375,1003788
214378,1003788
214379,1003788
214380,1003788
214381,1003788
214382,1003788
214383,1003788
214385,1003788
214386,1003788
1003788,2001231
2001231,3000188
215857,1004250
1004250,2001249
215857,1004251
215858,1004251
1004251,2001249
215558,1004132
1004132,2001249
101749,1004195
101750,1004195
